spp,lon,lat
Psittacanthus robustus,-48.7333333,-15.1166667
Psittacanthus robustus,-42.9666667,-16.6
Psittacanthus robustus,-47.8961111,-15.915
Psittacanthus robustus,-48.6477777,-15.3583333
Psittacanthus robustus,-48.9592,-15.8525
Psittacanthus robustus,-50,-14
Psittacanthus robustus,-56.7214,-13.4467
Psittacanthus robustus,-48.141583,-13.897417
Psittacanthus robustus,-51.86666,-12.9
Psittacanthus robustus,-48.4194445,-14.3583333
Psittacanthus robustus,-47.379722,-15.665278
Psittacanthus robustus,-44.40417,-19.27444
Psittacanthus robustus,-47.92944,-15.77972
Psittacanthus robustus,-47.8772223,-15.9511111
Psittacanthus robustus,-48.2,-16.016667
Psittacanthus robustus,-41.88333333,-13.55
Psittacanthus robustus,-47.95028,-16.25278
Psittacanthus robustus,-49.15,-15.9666667
Psittacanthus robustus,-47.835,-15.874167
Psittacanthus robustus,-47.6136,-16.7686
Psittacanthus robustus,-48.533333,-16.766667
Psittacanthus robustus,-52.333333,-14.733333
Psittacanthus robustus,-41.68,-13.55
Psittacanthus robustus,-52.333,-14.733
Psittacanthus robustus,-47.8813889,-15.9561111
Psittacanthus robustus,-48.5333333,-16.7666667
Psittacanthus robustus,-49.0833333,-13.2666667
Psittacanthus robustus,-51.8666667,-12.9
Psittacanthus robustus,-44.43,-18.76
Psittacanthus robustus,-47,-14
Psittacanthus robustus,-47.3344,-15.5372
Psittacanthus robustus,-49.1408,-14.5247
Psittacanthus robustus,-43.5833333,-19.25
Psittacanthus robustus,-47.9166667,-16.1333333
Psittacanthus robustus,-48.6081,-16.6589
Psittacanthus robustus,-47.816667,-15.85
Psittacanthus robustus,-42.225278,-9.655556
Psittacanthus robustus,-47.516667,-14.116667
Psittacanthus robustus,-41.7666667,-13.5333333
Psittacanthus robustus,-48.6,-16.65
Psittacanthus robustus,-47.61666667,-15.51666667
Psittacanthus robustus,-47.5247,-14.7056
Psittacanthus robustus,-42.7,-13.52
Psittacanthus robustus,-41.68,-13.38
Psittacanthus robustus,-37.83694,-12.22611
Psittacanthus robustus,-41.81139,-13.57917
Psittacanthus robustus,-46.94056,-19.59333
Psittacanthus robustus,-47.1667,-22.2583
Psittacanthus robustus,-42.9633333,-16.595
Psittacanthus robustus,-48.266667,-16.333333
Psittacanthus robustus,-42.88944,-16.55944
Psittacanthus robustus,-55.437667,-9.6753861
Psittacanthus robustus,-40.635556,-19.925556
Psittacanthus robustus,-50.0333333,-15.95
Psittacanthus robustus,-47.7333333,-20.8
Psittacanthus robustus,-47.762972,-14.899
Psittacanthus robustus,-53.94,-15.64
Psittacanthus robustus,-40.617778,-19.931111
Psittacanthus robustus,-47.95,-19.21666667
Psittacanthus robustus,-47.55,-15.633333
Psittacanthus robustus,-46.166667,-16.516667
Psittacanthus robustus,-47.95,-15.95
Psittacanthus robustus,-47.702222,-11.685556
Psittacanthus robustus,-49,-16
Psittacanthus robustus,-51.7666667,-12.8166667
Psittacanthus robustus,-47.75,-15.566667
Psittacanthus robustus,-48.22,-13.5331
Psittacanthus robustus,-51.76666,-12.81666
Psittacanthus robustus,-49.23333,-16.91666
Psittacanthus robustus,-48,-17
Psittacanthus robustus,-49.85,-15.0833333
Psittacanthus robustus,-47.933333,-15.883333
Psittacanthus robustus,-47.566667,-15.283333
Psittacanthus robustus,-47.816667,-16.083333
Psittacanthus robustus,-41.88333,-13.55
Psittacanthus robustus,-42.9166667,-16.6
Psittacanthus robustus,-47.366667,-15.716667
Psittacanthus robustus,-46.3694,-14.0931
Psittacanthus robustus,-47.49,-16.05
Psittacanthus robustus,-40.645833,-19.981944
Psittacanthus robustus,-47.8772223,-15.9630556
Psittacanthus robustus,-47.45,-13.9666667
Psittacanthus robustus,-42.583333,-13.9075
Psittacanthus robustus,-47.916667,-15.95
Psittacanthus robustus,-48.6833333,-17.7
Psittacanthus robustus,-47.9893,-16.4716
Psittacanthus robustus,-47.65,-16.033333
Psittacanthus robustus,-47.26444,-13.77667
Psittacanthus robustus,-34.978056,-6.458333
Psittacanthus robustus,-47.66125,-15.362667
Psittacanthus robustus,-43.6,-19.316667
Psittacanthus robustus,-43.71417,-19.16917
Psittacanthus robustus,-42.6,-14.233
Psittacanthus robustus,-50.033,-15.95
Psittacanthus robustus,-45.116667,-7.2
Psittacanthus robustus,-43.24857556,-19.94800389
Psittacanthus robustus,-46.496389,-19.580833
Psittacanthus robustus,-42.9166667,-16.5
Psittacanthus robustus,-48.45,-14.4961111
Psittacanthus robustus,-46.565278,-11.818611
Psittacanthus robustus,-44.488472,-18.816972
Psittacanthus robustus,-42.58,-13.91
Psittacanthus robustus,-41.883,-13.55
Psittacanthus robustus,-42.58333,-13.9075
Psittacanthus robustus,-42.6,-14.23333
Psittacanthus robustus,-56.45,-14.41
Psittacanthus robustus,-41.767,-13.533
Psittacanthus robustus,-42.225361,-9.655694
Psittacanthus robustus,-46.716667,-8.633333
Psittacanthus robustus,-46.9833333,-9.1166667
Psittacanthus robustus,-42.098333,-13.330556
Psittacanthus robustus,-43.3466666,-18.1238889
Psittacanthus robustus,-37.941111,-12.459444
Psittacanthus robustus,-38.95,-12.616667
Psittacanthus robustus,-46,-20
Psittacanthus robustus,-47.716667,-15.933333
Psittacanthus robustus,-53.942778,-15.636667
Psittacanthus robustus,-50.166667,-15.066667
Psittacanthus robustus,-41.883333,-13.366667
Psittacanthus robustus,-47.573611,-14.871944
Psittacanthus robustus,-51.0456,-11.3602
Psittacanthus robustus,-47.55,-15.533333
Psittacanthus robustus,-49.375,-10.5501
Psittacanthus robustus,-43.5,-19.5
Psittacanthus robustus,-37.44806,-11.35083
Psittacanthus robustus,-48.05,-16.05
Psittacanthus robustus,-41.819722,-13.595556
Psittacanthus robustus,-47.142,-22.242
Psittacanthus robustus,-38.35,-12.933
Psittacanthus robustus,-50.670556,-11.6725
Psittacanthus robustus,-41.15,-11.55
Psittacanthus robustus,-46.95105,-17.14195
Psittacanthus robustus,-38.083333,-11.933333
Psittacanthus robustus,-38.4,-12.783333
Psittacanthus robustus,-37.980833,-12.375556
Psittacanthus robustus,-47.5941,-15.443
Psittacanthus robustus,-53.9427777,-15.6366666
Psittacanthus robustus,-48.8769445,-14.5544444
